Transaction_ID,Date,Time,Customer_ID,Product_ID,Amount,Payment_Type,Country,Merchant_ID,Status
TX10049,2023-11-30,23:15:27,C7285,P54,421.55,PayPal,USA,M29,Completed
TX10050,2024-03-25,12:16:14,C1815,P55,72.07,Credit Card,Australia,M34,Chargeback
TX10051,2023-10-16,00:33:13,C5667,P13,336.96,Debit Card,Canada,M48,Chargeback
TX10052,2024-02-07,14:32:23,C2273,P35,122.3,Debit Card,Australia,M38,Completed
TX10053,2023-12-14,18:06:09,C5360,P72,761.26,Credit Card,Canada,M32,Chargeback
TX10054,2023-05-06,14:23:51,C8747,P24,275.42,Credit Card,UK,M22,Pending
TX10055,2024-01-20,04:01:27,C5636,P68,184.95,Debit Card,Australia,M29,Completed
TX10056,2024-03-10,05:41:06,C4759,P43,242.62,PayPal,USA,M5,Pending
TX10057,2024-01-07,06:48:59,C4821,P59,356.3,PayPal,USA,M41,Completed
TX10058,2023-12-14,17:09:10,C4704,P20,843.49,Credit Card,USA,M2,Chargeback
TX10059,2023-09-23,00:07:14,C6843,P86,164.63,Debit Card,USA,M49,Refunded
TX10060,2023-12-06,00:03:43,C2981,P88,299.11,Credit Card,USA,M49,Cancelled
TX10061,2024-03-16,08:26:35,C8143,P34,272.56,Debit Card,USA,M12,Refunded
TX10062,2023-12-17,06:44:59,C8747,P36,47.18,,Canada,M4,Cancelled
TX10063,2023-05-24,16:58:59,C2570,P35,330.33,,USA,M37,Cancelled
TX10064,2024-04-18,12:00:43,C2810,P3,292.86,Debit Card,USA,M30,Cancelled
TX10065,2024-04-18,06:36:27,C7900,P89,318.41,Credit Card,UK,M1,Pending
TX10066,2023-08-19,21:15:20,C6056,P13,490.77,PayPal,USA,M22,Completed
TX10067,2023-08-12,01:44:32,C3451,P29,120.01,Credit Card,Canada,M43,Cancelled
TX10068,2024-03-10,00:59:37,C3409,P9,288.58,PayPal,USA,M24,Completed
TX10069,2023-11-13,09:42:25,C3270,P3,52.9,Credit Card,Australia,M14,Refunded
TX10070,2024-04-29,06:40:17,C4778,P83,262.28,,Canada,M19,Cancelled
TX10071,2023-09-12,05:01:46,C5704,P77,496.99,Credit Card,USA,M19,Pending
TX10072,2023-08-25,15:51:17,C6104,P44,446.83,Credit Card,USA,M49,Completed
TX10073,2023-12-28,08:13:57,C7401,P77,110.22,PayPal,Canada,M22,Completed
TX10074,2023-07-04,11:35:33,C8053,P35,39.18,Debit Card,Canada,M6,Refunded
TX10075,2023-09-05,22:49:26,C3888,P89,,Debit Card,Canada,M11,Completed
TX10076,2023-06-17,19:08:45,C3143,P56,,Debit Card,Canada,M18,Completed
TX10077,2023-12-10,16:23:06,C2672,P6,184.6,PayPal,USA,M21,Refunded
TX10078,2024-02-29,22:45:22,C5145,P29,298.02,Credit Card,USA,M8,Pending
TX10079,2023-10-04,01:59:47,C8815,P60,705.17,Credit Card,USA,M8,Chargeback
TX10080,2024-03-27,19:02:02,C9268,P50,222.59,Debit Card,Canada,M8,Chargeback
TX10081,2024-01-17,14:52:38,C5209,P37,178.15,PayPal,UK,M38,Pending
TX10082,2024-01-14,23:36:32,C6305,P58,533.58,Credit Card,USA,M16,Chargeback
TX10083,2023-10-07,09:05:22,C2410,P61,329.52,Credit Card,USA,M40,Completed
TX10084,2024-01-02,07:40:28,C6095,P95,366.82,PayPal,USA,M3,Pending
TX10085,2024-03-03,07:08:18,C4639,P29,363.26,PayPal,USA,M7,Pending
TX10086,2024-02-09,07:34:27,C9242,P60,98.52,Credit Card,Canada,M41,Refunded
TX10087,2024-03-07,17:24:14,C4321,P55,250.21,Debit Card,UK,M17,Pending
TX10088,2024-04-17,18:37:20,C6028,P48,49.25,Debit Card,Canada,M36,Refunded
TX10089,2024-02-20,21:44:18,C6880,P64,276.45,Credit Card,UK,M15,Completed
TX10090,2023-06-26,19:12:16,C6845,P12,330.62,Debit Card,USA,M41,Pending
TX10091,2023-09-15,21:28:43,C7379,P82,65.85,Credit Card,Canada,M43,Refunded
TX10092,2023-06-17,08:30:42,C8317,P67,67.67,Debit Card,Canada,M34,Cancelled
TX10093,2024-02-25,14:19:40,C3318,P85,229.76,PayPal,UK,M2,Cancelled
TX10094,2023-05-07,11:18:18,C1211,P47,186.33,Debit Card,Canada,M27,Pending
TX10095,2023-09-12,10:49:10,C4571,P65,402.35,Debit Card,UK,M43,Chargeback
TX10096,2023-09-19,04:08:15,C2244,P68,238.21,,UK,M47,Pending
TX10097,2023-11-19,15:54:12,C5991,P7,79.07,PayPal,UK,M39,Refunded
TX10098,2023-10-14,06:22:10,C7726,P4,,PayPal,USA,M31,Pending
TX10099,2023-09-30,05:37:59,C4941,P60,,Debit Card,USA,M19,Completed
TX10100,2024-01-20,05:18:37,C8745,P91,107.31,Debit Card,USA,M6,Refunded
TX10101,2023-07-08,03:37:49,C4546,P50,118.87,Debit Card,UK,M22,Cancelled
TX10102,2024-02-28,16:39:58,C1219,P83,262.5,Debit Card,USA,M4,Completed
TX10103,2023-12-20,09:49:31,C3003,P43,165.78,Debit Card,UK,M38,Completed
TX10104,2024-01-18,15:14:26,C3284,P4,177.95,Debit Card,Australia,M34,Refunded
TX10105,2023-06-24,06:15:15,C5953,P78,497.78,Debit Card,,M23,Cancelled
TX10106,2023-11-07,23:32:24,C2010,P88,168.99,Debit Card,UK,M24,Pending
TX10107,2023-08-10,00:28:13,C6578,P27,,Credit Card,Canada,M13,Refunded
TX10108,2023-10-13,01:04:17,C2106,P37,1155.42,Credit Card,USA,M39,Chargeback
TX10109,2024-02-28,04:13:58,C1835,P85,222.07,Debit Card,USA,M2,Pending
TX10110,2023-05-29,17:58:10,C8188,P56,485.21,,USA,M48,Completed
TX10111,2024-01-21,19:14:06,C5042,P15,818.33,Credit Card,USA,M37,Chargeback
TX10112,2024-03-14,16:37:25,C6989,P87,186.25,Credit Card,Australia,M21,Cancelled
TX10113,2023-08-15,18:21:05,C9414,P72,293.88,Credit Card,Canada,M28,Completed
TX10114,2024-01-20,23:23:45,C5444,P45,112.45,PayPal,UK,M38,Pending
TX10115,2023-10-05,18:07:11,C6120,P45,380.11,Credit Card,Canada,M20,Chargeback
TX10116,2023-12-07,17:04:56,C5625,P33,95.73,Debit Card,Canada,M41,Pending
TX10117,2024-03-03,02:25:49,C8623,P16,484.88,Credit Card,USA,M24,Cancelled
TX10118,2023-12-22,23:28:42,C2439,P25,183.79,Credit Card,Canada,M43,Pending
TX10119,2024-02-20,16:08:45,C2709,P6,138.1,Credit Card,UK,M31,Cancelled
TX10120,2024-02-10,18:13:18,C6869,P78,144.71,Credit Card,Canada,M3,Cancelled
TX10121,2023-05-09,14:46:18,C8781,P89,130.84,PayPal,Canada,M37,Completed
TX10122,2023-05-09,23:45:48,C9607,P74,296.41,,USA,M12,Completed
TX10123,2023-09-01,22:28:08,C1695,P76,451.21,PayPal,USA,M36,Chargeback
TX10124,2023-12-12,14:30:53,C6240,P4,411.51,,USA,M12,Pending
TX10125,2023-12-24,09:04:40,C8569,P23,163.52,,UK,M28,Completed
TX10126,2024-01-05,11:23:13,C1315,P57,31.14,Debit Card,Canada,M31,Refunded
TX10127,2024-03-19,02:33:07,C6126,P80,285.96,Credit Card,Canada,M44,Completed
TX10128,2023-10-24,18:18:45,C2068,P1,414.84,Credit Card,USA,M8,Cancelled
TX10129,2023-12-30,07:50:01,C3245,P11,75.1,Debit Card,UK,M35,Completed
TX10130,2023-07-01,08:43:29,C7842,P1,62.2,Debit Card,UK,M3,Refunded
TX10131,2023-12-06,00:16:35,C8655,P44,432.92,PayPal,USA,M2,Completed
TX10132,2024-02-27,03:58:33,C4285,P69,411.69,Debit Card,USA,M5,Completed
TX10133,2023-09-11,23:32:53,C5571,P13,1011.47,Credit Card,USA,M13,Chargeback
TX10134,2024-03-07,09:04:54,C3448,P77,108.65,Credit Card,Australia,M42,Completed
TX10135,2024-02-14,19:03:15,C8355,P25,309.02,PayPal,USA,M31,Pending
TX10136,2023-11-25,21:08:20,C2576,P17,188.29,Credit Card,UK,M5,Completed
TX10137,2023-12-16,03:32:41,C3566,P17,125.79,Debit Card,Canada,M16,Refunded
TX10138,2024-03-02,22:34:41,C2461,P39,387.76,Credit Card,USA,M38,Pending
TX10139,2023-10-11,17:57:40,C9265,P1,123.11,Credit Card,Australia,M50,Refunded
TX10140,2023-11-03,00:29:50,C8540,P73,,PayPal,Australia,M4,Completed
TX10141,2024-01-29,02:41:20,C7897,P16,375.57,Debit Card,,M20,Pending
TX10142,2023-07-27,16:49:29,C6754,P78,87.01,PayPal,UK,M2,Completed
TX10143,2023-06-17,22:10:45,C8277,P87,354.1,PayPal,USA,M8,Completed
TX10144,2023-12-10,14:25:14,C1760,P6,223.97,Debit Card,USA,M22,Cancelled
TX10145,2023-05-24,20:32:22,C9438,P42,383.66,Credit Card,USA,M1,Completed
TX10146,2024-02-11,15:01:08,C8007,P26,116.4,Debit Card,UK,M45,Pending
TX10147,2023-06-28,10:13:42,C8240,P77,84.46,Credit Card,UK,M44,Refunded
TX10148,2023-11-15,21:11:25,C1135,P66,467.03,Debit Card,USA,M19,Completed
TX10149,2023-10-29,14:12:26,C6007,P14,382.77,Credit Card,USA,M47,Completed
TX10150,2023-08-11,21:57:08,C9302,P49,173.13,PayPal,,M39,Cancelled
TX10151,2023-05-26,14:01:48,C9407,P71,311.46,PayPal,USA,M2,Completed
TX10152,2023-07-04,12:25:53,C2888,P27,244.54,Debit Card,USA,M31,Chargeback
TX10153,2024-01-08,23:06:35,C6443,P68,154.46,PayPal,UK,M20,Completed
TX10154,2023-10-06,11:04:14,C8010,P20,52.55,,Australia,M20,Refunded
TX10155,2024-03-17,12:26:39,C3898,P11,477.72,Debit Card,USA,M31,Pending
TX10156,2024-02-05,13:36:31,C8892,P69,200.89,Credit Card,UK,M3,Refunded
TX10157,2023-10-04,04:09:26,C3144,P52,118.83,Credit Card,,M4,Refunded
TX10158,2023-11-30,19:14:27,C6682,P85,468.14,PayPal,USA,M5,Completed
TX10159,2023-06-09,11:07:55,C9220,P9,148.44,Debit Card,Canada,M3,Completed
TX10160,2023-05-28,18:47:40,C8465,P72,276.12,Credit Card,USA,M49,Pending
TX10161,2023-12-23,23:31:46,C5603,P43,219.29,Debit Card,,M34,Cancelled
TX10162,2024-02-07,20:20:38,C7268,P29,259.24,PayPal,UK,M2,Completed
TX10163,2023-06-30,12:33:01,C6437,P87,368.12,PayPal,UK,M5,Chargeback
TX10164,2024-02-02,04:44:11,C3432,P59,276.1,Debit Card,USA,M49,Cancelled
TX10165,2023-06-01,07:16:54,C3337,P29,825.91,Credit Card,Canada,M33,Chargeback
TX10166,2023-05-26,04:31:58,C2728,P43,,,USA,M8,Refunded
TX10167,2023-06-14,09:48:15,C5733,P68,457.4,Credit Card,USA,M10,Chargeback
TX10168,2024-05-01,10:03:51,C1004,P98,483.56,Debit Card,USA,M28,Cancelled
TX10169,2024-01-03,05:02:17,C7590,P21,258.52,Debit Card,UK,M47,Completed
TX10170,2024-04-10,11:37:40,C5426,P97,125.23,Debit Card,UK,M28,Chargeback
TX10171,2024-03-25,22:47:43,C3428,P42,239.64,Debit Card,USA,M43,Completed
TX10172,2024-01-26,20:38:42,C6404,P56,34.17,,UK,M3,Refunded
TX10173,2023-10-26,00:48:11,C3750,P72,224.56,PayPal,USA,M30,Completed
TX10174,2023-09-01,08:28:24,C6240,P21,251.98,PayPal,UK,M7,Pending
TX10175,2023-07-04,21:22:01,C5325,P35,325.37,Credit Card,USA,M41,Chargeback
TX10176,2023-05-08,20:56:56,C7932,P59,82.98,Debit Card,UK,M50,Refunded
TX10177,2024-01-10,04:36:06,C5996,P52,220.53,PayPal,USA,M2,Refunded
TX10178,2023-05-15,20:29:14,C9218,P53,356.96,Credit Card,Australia,M49,Chargeback
TX10179,2023-05-16,11:42:12,C1002,P96,305.91,,USA,M27,Pending
TX10180,2023-10-16,09:35:05,C3001,P80,469.33,Debit Card,USA,M28,Cancelled
TX10181,2024-04-11,13:59:33,C2423,P22,251.73,Credit Card,USA,M21,Cancelled
TX10182,2024-02-28,12:09:43,C7403,P87,237.37,PayPal,Australia,M30,Cancelled
TX10183,2023-12-01,15:44:34,C8131,P43,240.69,PayPal,Canada,M46,Pending
TX10184,2024-02-03,02:55:36,C8548,P78,287.48,Debit Card,USA,M48,Refunded
TX10185,2023-05-21,03:18:54,C1507,P77,220.53,Credit Card,UK,M34,Chargeback
TX10186,2023-08-19,20:58:29,C4242,P25,76.49,Debit Card,Canada,M19,Refunded
TX10187,2023-09-09,10:17:00,C6609,P60,101.11,,UK,M47,Refunded
TX10188,2024-03-05,10:14:38,C8985,P4,89.86,Credit Card,UK,M17,Pending
TX10189,2023-07-22,11:42:27,C4501,P87,,PayPal,USA,M19,Cancelled
TX10190,2024-03-10,07:53:58,C7585,P72,483.09,PayPal,USA,M8,Pending
TX10191,2024-01-12,09:19:07,C6356,P11,130.21,PayPal,Canada,M27,Pending
TX10192,2024-02-02,09:16:28,C5255,P32,194.71,Credit Card,Australia,M43,Pending
TX10193,2023-06-16,08:42:14,C8952,P13,144.14,Debit Card,UK,M10,Chargeback
TX10194,2024-02-28,11:24:47,C6250,P40,,PayPal,USA,M47,Cancelled
TX10195,2024-03-22,02:40:15,C3280,P87,902.8,Credit Card,USA,M23,Chargeback
TX10196,2024-04-12,06:57:16,C6471,P48,111.61,Debit Card,Canada,M34,Chargeback
TX10197,2024-03-26,13:32:40,C7150,P53,202.91,Credit Card,Canada,M49,Chargeback
TX10198,2023-05-26,18:43:43,C9347,P12,102.51,Debit Card,Canada,M40,Pending
TX10199,2023-11-04,10:16:08,C9473,P47,263.04,Credit Card,Canada,M29,Pending
TX10200,2023-07-13,23:32:11,C5513,P13,147.35,Credit Card,UK,M30,Pending
TX10201,2023-06-17,02:43:34,C8377,P57,269.29,PayPal,USA,M8,Completed
TX10202,2024-02-26,23:57:40,C4707,P28,342.31,,USA,M17,Pending
TX10203,2024-03-30,07:15:23,C6907,P24,133.35,PayPal,Canada,M31,Refunded
TX10204,2024-01-21,21:57:47,C5827,P32,90.64,PayPal,UK,M25,Pending
TX10205,2024-02-09,23:15:11,C3908,P5,116.63,Credit Card,USA,M10,Refunded
TX10206,2023-07-14,16:16:17,C9087,P31,439.66,Credit Card,USA,M11,Chargeback
TX10207,2024-03-10,02:33:25,C8077,P32,170.83,Credit Card,UK,M23,Refunded
TX10208,2023-09-19,17:16:30,C4858,P34,463.92,PayPal,USA,M28,Pending
TX10209,2023-05-21,00:55:21,C7813,P35,,Credit Card,USA,M11,Completed
TX10210,2023-10-08,18:08:09,C9618,P93,111.72,,UK,M7,Completed
TX10211,2023-07-05,17:59:04,C8478,P98,140.85,Credit Card,UK,M42,Chargeback
TX10212,2024-03-31,06:20:53,C8615,P25,44.54,PayPal,UK,M42,Cancelled
TX10213,2023-10-28,08:15:51,C3443,P61,380.63,Debit Card,USA,M19,Pending
TX10214,2024-02-24,21:05:02,C1370,P6,67.81,PayPal,Canada,M21,Completed
TX10215,2023-08-04,18:12:46,C7236,P76,208.29,PayPal,USA,M41,Cancelled
TX10216,2024-02-21,02:47:33,C6856,P33,178.45,Debit Card,,M37,Refunded
TX10217,2024-02-08,17:56:16,C2058,P50,,PayPal,Canada,M49,Cancelled
TX10218,2023-08-06,02:15:50,C9056,P32,22.19,Debit Card,UK,M7,Refunded
TX10219,2023-08-30,00:48:52,C7280,P40,481.86,Debit Card,,M30,Chargeback
TX10220,2024-01-21,20:58:01,C8444,P36,63.13,,UK,M35,Chargeback
TX10221,2023-12-29,15:55:33,C7082,P51,197.83,Credit Card,UK,M26,Cancelled
TX10222,2023-08-26,00:08:01,C3618,P91,,Debit Card,USA,M42,Pending
TX10223,2024-03-01,08:09:36,C6528,P100,268.34,PayPal,USA,M25,Pending
TX10224,2024-01-20,13:47:02,C3283,P5,,PayPal,USA,M38,Cancelled
TX10225,2023-08-10,13:52:52,C2430,P66,404.69,Debit Card,USA,M32,Chargeback
TX10226,2024-03-12,15:54:06,C8032,P10,,Credit Card,Australia,M14,Chargeback
TX10227,2023-10-20,03:45:42,C3810,P65,672.89,,USA,M33,Chargeback
TX10228,2024-02-13,00:05:54,C4188,P48,70.21,,Canada,M50,Cancelled
TX10229,2023-11-19,14:16:30,C7679,P36,99.72,Debit Card,UK,M22,Refunded
TX10230,2024-04-17,00:26:03,C1056,P70,71.96,Debit Card,Canada,M38,Refunded
TX10231,2023-10-29,14:24:00,C5448,P61,66.88,,UK,M31,Pending
TX10232,2023-07-13,22:31:02,C8910,P93,170.98,Debit Card,UK,M24,Pending
TX10233,2023-05-27,11:34:58,C6153,P67,277.34,,UK,M20,Chargeback
TX10234,2023-08-16,12:25:18,C7093,P20,345.26,PayPal,USA,M19,Completed
TX10235,2024-02-09,01:26:58,C7766,P82,158.34,PayPal,Canada,M44,Chargeback
TX10236,2023-05-28,23:57:26,C2789,P37,309.29,Debit Card,USA,M38,Completed
TX10237,2023-05-27,11:54:48,C7540,P86,295.78,Credit Card,USA,M9,Pending
TX10238,2023-09-13,19:32:18,C7728,P2,162.54,Debit Card,UK,M38,Refunded
TX10239,2023-11-18,13:29:07,C5478,P63,266.89,Credit Card,USA,M13,Pending
TX10240,2023-07-23,13:24:17,C8661,P14,238.62,PayPal,Australia,M13,Chargeback
TX10241,2024-03-25,22:25:38,C2753,P98,114.19,,Australia,M37,Completed
TX10242,2023-08-22,05:03:57,C7268,P34,228.88,Credit Card,Australia,M13,Completed
TX10243,2023-06-26,17:42:53,C7518,P26,499.8,Debit Card,USA,M35,Completed
TX10244,2023-10-29,17:09:56,C6514,P75,452.16,Credit Card,USA,M46,Completed
TX10245,2024-02-10,16:19:11,C1156,P97,222.09,Credit Card,Australia,M48,Completed
TX10246,2023-09-23,09:40:12,C7444,P52,252.96,Credit Card,UK,M14,Completed
TX10247,2023-07-07,10:44:21,C1905,P76,540.02,,Australia,M15,Chargeback
TX10248,2023-07-12,18:21:25,C3452,P72,167.24,Credit Card,Australia,M28,Chargeback
TX10249,2023-05-22,15:49:22,C4816,P60,300.65,Credit Card,Canada,M39,Cancelled
TX10250,2023-05-22,20:55:20,C6963,P56,,,USA,M26,Pending
TX10251,2024-03-12,01:14:05,C3559,P53,364.46,PayPal,USA,M30,Cancelled
TX10252,2023-08-29,01:19:28,C5993,P27,134.32,Debit Card,Canada,M45,Refunded
TX10253,2023-09-16,10:15:25,C6484,P1,276.11,,USA,M4,Completed
TX10254,2023-06-17,23:05:14,C5975,P34,866.08,Credit Card,USA,M42,Chargeback
TX10255,2023-05-20,07:49:58,C2042,P79,,PayPal,,M6,Cancelled
TX10256,2024-04-20,00:34:30,C4041,P81,168.18,PayPal,Australia,M16,Pending
TX10257,2023-09-16,05:53:31,C7850,P6,,Debit Card,UK,M46,Cancelled
TX10258,2023-09-23,20:30:28,C6596,P54,45.69,Debit Card,UK,M15,Refunded
TX10259,2024-03-28,19:57:12,C9429,P69,315.51,PayPal,USA,M9,Completed
TX10260,2023-07-09,14:06:49,C9863,P19,165.08,PayPal,UK,M48,Chargeback
TX10261,2023-06-25,13:38:26,C6735,P69,306.31,Credit Card,Australia,M48,Chargeback
TX10262,2023-08-19,01:35:10,C5302,P39,319.52,PayPal,USA,M21,Completed
TX10263,2023-05-19,12:00:00,C6223,P55,189.2,Debit Card,UK,M7,Pending
TX10264,2023-12-22,11:58:02,C5724,P24,184.35,Credit Card,Canada,M21,Chargeback
TX10265,2023-07-29,17:03:46,C4838,P24,198.17,Debit Card,Canada,M26,Cancelled
TX10266,2023-10-10,19:46:16,C6243,P99,,Credit Card,UK,M10,Chargeback
TX10267,2024-02-07,23:15:01,C2092,P90,91.32,Debit Card,Canada,M27,Cancelled
TX10268,2024-04-25,14:54:06,C1334,P48,216.31,Debit Card,USA,M26,Completed
TX10269,2023-06-08,01:13:36,C2948,P69,179.18,Debit Card,USA,M23,Refunded
TX10270,2023-08-27,07:45:56,C9064,P48,512.66,Debit Card,Canada,M4,Chargeback
TX10271,2024-02-12,07:35:04,C6914,P76,171.94,Credit Card,Canada,M37,Pending
TX10272,2023-08-31,16:51:29,C3415,P89,67.57,Credit Card,Canada,M10,Pending
TX10273,2023-07-28,09:58:13,C1529,P93,185.23,PayPal,Australia,M49,Cancelled
TX10274,2023-07-08,02:22:22,C1151,P28,92.33,Credit Card,,M7,Completed
TX10275,2023-12-02,07:51:05,C7021,P59,115.45,PayPal,UK,M33,Pending
TX10276,2023-07-19,03:59:01,C8089,P89,,Debit Card,Canada,M31,Refunded
TX10277,2024-02-09,21:05:06,C5921,P90,201.71,Credit Card,UK,M1,Chargeback
TX10278,2024-03-21,10:17:23,C4075,P70,95.81,PayPal,Canada,M12,Completed
TX10279,2024-02-27,19:41:50,C1847,P8,53.55,Debit Card,Canada,M50,Refunded
TX10280,2023-05-10,21:35:12,C2265,P77,256.74,,,M22,Cancelled
TX10281,2024-01-09,11:49:43,C5372,P93,337.6,Credit Card,USA,M16,Cancelled
TX10282,2023-09-12,19:08:09,C7076,P17,248.68,,USA,M6,Cancelled
TX10283,2023-06-04,22:38:11,C4990,P65,211.01,PayPal,,M41,Cancelled
TX10284,2023-11-30,03:39:09,C8847,P86,59.79,PayPal,UK,M23,Refunded
TX10285,2024-02-29,04:01:15,C5408,P15,391.83,PayPal,USA,M45,Cancelled
TX10286,2023-08-17,16:47:46,C4784,P100,139.01,Credit Card,UK,M19,Refunded
TX10287,2023-10-30,10:05:22,C2575,P17,42.19,PayPal,UK,M1,Cancelled
TX10288,2023-05-13,14:05:12,C8861,P5,1008.25,Debit Card,USA,M30,Chargeback
TX10289,2024-03-22,23:56:19,C9431,P68,684.71,Credit Card,UK,M10,Chargeback
TX10290,2023-06-15,11:54:33,C9861,P35,334.88,PayPal,USA,M1,Pending
TX10291,2024-04-25,17:43:33,C7583,P65,434.06,Debit Card,USA,M1,Cancelled
TX10292,2024-02-24,17:26:17,C2315,P46,,PayPal,Canada,M44,Completed
TX10293,2024-02-20,17:59:40,C3477,P86,133.98,Debit Card,USA,M32,Refunded
TX10294,2023-12-30,15:22:56,C6440,P98,669.31,Debit Card,USA,M24,Chargeback
TX10295,2023-06-27,09:18:31,C6556,P54,170.6,PayPal,UK,M44,Completed
TX10296,2023-08-21,17:39:20,C6799,P1,198.45,PayPal,Canada,M22,Pending
TX10297,2024-03-18,09:24:25,C8321,P70,610.52,Credit Card,USA,M48,Chargeback
TX10298,2023-09-18,08:27:55,C9272,P53,188.48,Credit Card,UK,M23,Cancelled
TX10299,2024-02-23,11:36:57,C9517,P35,466.79,Debit Card,USA,M16,Completed
TX10300,2023-07-06,21:25:39,C4206,P67,307.04,PayPal,USA,M33,Completed
TX10301,2023-07-07,02:15:35,C4105,P61,327.16,Credit Card,UK,M39,Chargeback
TX10302,2024-01-04,00:36:28,C1780,P30,232.09,Credit Card,UK,M37,Completed
TX10303,2023-11-06,02:54:47,C8528,P88,100.33,PayPal,UK,M12,Completed
TX10304,2023-07-26,14:26:52,C9772,P38,122.09,PayPal,Canada,M23,Chargeback
TX10305,2023-06-13,13:55:44,C7556,P80,31.97,Debit Card,Australia,M45,Refunded
TX10306,2023-07-27,12:03:56,C3492,P42,290.26,Debit Card,UK,M4,Chargeback
TX10307,2024-01-02,13:42:23,C1426,P82,179.82,PayPal,USA,M48,Refunded
