,transaction_id,date,time,customer_id,product_id,amount,payment_type,country,merchant_id,status,exchange_rate,total_usd,date_time,year,month,day,dow,hour,is_weekend
19,TX10019,2024-01-28,01:24:17,C5144,P20,1452.46,Debit Card,USA,M31,Chargeback,1.0,1452.46,2024-01-28 01:24:17,2024,1,28,6,1,1
20,TX10020,2023-11-06,16:17:32,C9708,P58,147.83,PayPal,UK,M22,Pending,1.25,184.78750000000002,2023-11-06 16:17:32,2023,11,6,0,16,0
21,TX10021,2023-10-25,13:01:08,C3631,P71,498.05,Credit Card,USA,M5,Completed,1.0,498.05,2023-10-25 13:01:08,2023,10,25,2,13,0
22,TX10022,2023-06-28,23:38:45,C6203,P93,235.77,Debit Card,USA,M13,Completed,1.0,235.77,2023-06-28 23:38:45,2023,6,28,2,23,0
23,TX10023,2024-04-24,13:52:18,C3752,P61,477.39,Debit Card,USA,M2,Cancelled,1.0,477.39,2024-04-24 13:52:18,2024,4,24,2,13,0
24,TX10024,2024-01-01,18:16:11,C9815,P58,51.2,Debit Card,UK,M24,Refunded,1.25,64.0,2024-01-01 18:16:11,2024,1,1,0,18,0
25,TX10025,2023-05-28,18:56:42,C6210,P78,113.76,PayPal,Canada,M10,Pending,0.73,83.0448,2023-05-28 18:56:42,2023,5,28,6,18,1
26,TX10026,2024-02-23,03:39:43,C2476,P47,154.4,Credit Card,USA,M3,Refunded,1.0,154.4,2024-02-23 03:39:43,2024,2,23,4,3,0
27,TX10027,2023-11-18,02:47:00,C7561,P100,152.65,,UK,M27,Pending,1.25,190.8125,2023-11-18 02:47:00,2023,11,18,5,2,1
28,TX10028,2023-05-25,23:56:37,C7377,P90,61.39,PayPal,UK,M49,Pending,1.25,76.7375,2023-05-25 23:56:37,2023,5,25,3,23,0
29,TX10029,2023-08-12,05:06:27,C3174,P22,341.15,PayPal,USA,M22,Pending,1.0,341.15,2023-08-12 05:06:27,2023,8,12,5,5,1
30,TX10030,2023-07-22,08:57:11,C3847,P35,419.64,Credit Card,UK,M47,Chargeback,1.25,524.55,2023-07-22 08:57:11,2023,7,22,5,8,1
31,TX10031,2024-02-25,20:41:34,C7021,P22,754.63,Debit Card,USA,M9,Chargeback,1.0,754.63,2024-02-25 20:41:34,2024,2,25,6,20,1
32,TX10032,2024-03-20,12:17:45,C1765,P33,428.8,,USA,M50,Completed,1.0,428.8,2024-03-20 12:17:45,2024,3,20,2,12,0
33,TX10033,2023-06-01,08:35:19,C7167,P60,19.69,Debit Card,Australia,M42,Refunded,0.65,12.7985,2023-06-01 08:35:19,2023,6,1,3,8,0
34,TX10034,2023-10-31,05:59:32,C3876,P64,492.61,,Australia,M4,Chargeback,0.65,320.1965,2023-10-31 05:59:32,2023,10,31,1,5,0
35,TX10035,2023-07-06,01:58:58,C4187,P90,,PayPal,Canada,M43,Pending,0.73,,2023-07-06 01:58:58,2023,7,6,3,1,0
36,TX10036,2023-08-05,20:20:02,C9477,P77,489.51,PayPal,USA,M28,Pending,1.0,489.51,2023-08-05 20:20:02,2023,8,5,5,20,1
37,TX10037,2024-01-11,18:00:12,C2203,P47,437.12,PayPal,USA,M2,Completed,1.0,437.12,2024-01-11 18:00:12,2024,1,11,3,18,0
38,TX10038,2023-09-28,12:07:42,C3205,P94,181.87,Credit Card,UK,M38,Cancelled,1.25,227.3375,2023-09-28 12:07:42,2023,9,28,3,12,0
39,TX10039,2024-01-06,07:52:26,C2428,P21,106.0,Credit Card,UK,M42,Refunded,1.25,132.5,2024-01-06 07:52:26,2024,1,6,5,7,1
40,TX10040,2023-07-10,17:37:21,C4508,P94,436.2,Credit Card,USA,M41,Pending,1.0,436.2,2023-07-10 17:37:21,2023,7,10,0,17,0
41,TX10041,2024-01-27,12:56:06,C7710,P8,50.61,Debit Card,UK,M3,Pending,1.25,63.2625,2024-01-27 12:56:06,2024,1,27,5,12,1
42,TX10042,2023-07-05,19:12:42,C7066,P10,1077.05,Debit Card,USA,M4,Chargeback,1.0,1077.05,2023-07-05 19:12:42,2023,7,5,2,19,0
43,TX10043,2023-05-16,14:24:06,C5070,P9,766.49,,Australia,M7,Chargeback,0.65,498.2185,2023-05-16 14:24:06,2023,5,16,1,14,0
44,TX10044,2024-04-02,17:02:25,C4841,P61,293.04,Credit Card,USA,M15,Cancelled,1.0,293.04,2024-04-02 17:02:25,2024,4,2,1,17,0
45,TX10045,2023-09-23,05:37:48,C4567,P53,249.18,Debit Card,UK,M27,Pending,1.25,311.475,2023-09-23 05:37:48,2023,9,23,5,5,1
46,TX10046,2024-03-12,08:19:02,C4495,P65,,Debit Card,USA,M1,Refunded,1.0,,2024-03-12 08:19:02,2024,3,12,1,8,0
47,TX10047,2023-08-28,01:12:33,C1488,P62,144.85,Credit Card,UK,M26,Chargeback,1.25,181.0625,2023-08-28 01:12:33,2023,8,28,0,1,0
48,TX10048,2023-10-05,22:20:48,C7763,P75,157.82,,UK,M19,Completed,1.25,197.27499999999998,2023-10-05 22:20:48,2023,10,5,3,22,0
49,TX10049,2023-11-30,23:15:27,C7285,P54,421.55,PayPal,USA,M29,Completed,1.0,421.55,2023-11-30 23:15:27,2023,11,30,3,23,0
50,TX10050,2024-03-25,12:16:14,C1815,P55,72.07,Credit Card,Australia,M34,Chargeback,0.65,46.845499999999994,2024-03-25 12:16:14,2024,3,25,0,12,0
51,TX10051,2023-10-16,00:33:13,C5667,P13,336.96,Debit Card,Canada,M48,Chargeback,0.73,245.9808,2023-10-16 00:33:13,2023,10,16,0,0,0
52,TX10052,2024-02-07,14:32:23,C2273,P35,122.3,Debit Card,Australia,M38,Completed,0.65,79.495,2024-02-07 14:32:23,2024,2,7,2,14,0
53,TX10053,2023-12-14,18:06:09,C5360,P72,761.26,Credit Card,Canada,M32,Chargeback,0.73,555.7198,2023-12-14 18:06:09,2023,12,14,3,18,0
54,TX10054,2023-05-06,14:23:51,C8747,P24,275.42,Credit Card,UK,M22,Pending,1.25,344.27500000000003,2023-05-06 14:23:51,2023,5,6,5,14,1
55,TX10055,2024-01-20,04:01:27,C5636,P68,184.95,Debit Card,Australia,M29,Completed,0.65,120.2175,2024-01-20 04:01:27,2024,1,20,5,4,1
56,TX10056,2024-03-10,05:41:06,C4759,P43,242.62,PayPal,USA,M5,Pending,1.0,242.62,2024-03-10 05:41:06,2024,3,10,6,5,1
57,TX10057,2024-01-07,06:48:59,C4821,P59,356.3,PayPal,USA,M41,Completed,1.0,356.3,2024-01-07 06:48:59,2024,1,7,6,6,1
58,TX10058,2023-12-14,17:09:10,C4704,P20,843.49,Credit Card,USA,M2,Chargeback,1.0,843.49,2023-12-14 17:09:10,2023,12,14,3,17,0
59,TX10059,2023-09-23,00:07:14,C6843,P86,164.63,Debit Card,USA,M49,Refunded,1.0,164.63,2023-09-23 00:07:14,2023,9,23,5,0,1
60,TX10060,2023-12-06,00:03:43,C2981,P88,299.11,Credit Card,USA,M49,Cancelled,1.0,299.11,2023-12-06 00:03:43,2023,12,6,2,0,0
61,TX10061,2024-03-16,08:26:35,C8143,P34,272.56,Debit Card,USA,M12,Refunded,1.0,272.56,2024-03-16 08:26:35,2024,3,16,5,8,1
62,TX10062,2023-12-17,06:44:59,C8747,P36,47.18,,Canada,M4,Cancelled,0.73,34.4414,2023-12-17 06:44:59,2023,12,17,6,6,1
63,TX10063,2023-05-24,16:58:59,C2570,P35,330.33,,USA,M37,Cancelled,1.0,330.33,2023-05-24 16:58:59,2023,5,24,2,16,0
64,TX10064,2024-04-18,12:00:43,C2810,P3,292.86,Debit Card,USA,M30,Cancelled,1.0,292.86,2024-04-18 12:00:43,2024,4,18,3,12,0
65,TX10065,2024-04-18,06:36:27,C7900,P89,318.41,Credit Card,UK,M1,Pending,1.25,398.01250000000005,2024-04-18 06:36:27,2024,4,18,3,6,0
66,TX10066,2023-08-19,21:15:20,C6056,P13,490.77,PayPal,USA,M22,Completed,1.0,490.77,2023-08-19 21:15:20,2023,8,19,5,21,1
67,TX10067,2023-08-12,01:44:32,C3451,P29,120.01,Credit Card,Canada,M43,Cancelled,0.73,87.6073,2023-08-12 01:44:32,2023,8,12,5,1,1
68,TX10068,2024-03-10,00:59:37,C3409,P9,288.58,PayPal,USA,M24,Completed,1.0,288.58,2024-03-10 00:59:37,2024,3,10,6,0,1
69,TX10069,2023-11-13,09:42:25,C3270,P3,52.9,Credit Card,Australia,M14,Refunded,0.65,34.385,2023-11-13 09:42:25,2023,11,13,0,9,0
70,TX10070,2024-04-29,06:40:17,C4778,P83,262.28,,Canada,M19,Cancelled,0.73,191.46439999999998,2024-04-29 06:40:17,2024,4,29,0,6,0
71,TX10071,2023-09-12,05:01:46,C5704,P77,496.99,Credit Card,USA,M19,Pending,1.0,496.99,2023-09-12 05:01:46,2023,9,12,1,5,0
72,TX10072,2023-08-25,15:51:17,C6104,P44,446.83,Credit Card,USA,M49,Completed,1.0,446.83,2023-08-25 15:51:17,2023,8,25,4,15,0
73,TX10073,2023-12-28,08:13:57,C7401,P77,110.22,PayPal,Canada,M22,Completed,0.73,80.4606,2023-12-28 08:13:57,2023,12,28,3,8,0
74,TX10074,2023-07-04,11:35:33,C8053,P35,39.18,Debit Card,Canada,M6,Refunded,0.73,28.601399999999998,2023-07-04 11:35:33,2023,7,4,1,11,0
75,TX10075,2023-09-05,22:49:26,C3888,P89,,Debit Card,Canada,M11,Completed,0.73,,2023-09-05 22:49:26,2023,9,5,1,22,0
76,TX10076,2023-06-17,19:08:45,C3143,P56,,Debit Card,Canada,M18,Completed,0.73,,2023-06-17 19:08:45,2023,6,17,5,19,1
77,TX10077,2023-12-10,16:23:06,C2672,P6,184.6,PayPal,USA,M21,Refunded,1.0,184.6,2023-12-10 16:23:06,2023,12,10,6,16,1
78,TX10078,2024-02-29,22:45:22,C5145,P29,298.02,Credit Card,USA,M8,Pending,1.0,298.02,2024-02-29 22:45:22,2024,2,29,3,22,0
79,TX10079,2023-10-04,01:59:47,C8815,P60,705.17,Credit Card,USA,M8,Chargeback,1.0,705.17,2023-10-04 01:59:47,2023,10,4,2,1,0
80,TX10080,2024-03-27,19:02:02,C9268,P50,222.59,Debit Card,Canada,M8,Chargeback,0.73,162.4907,2024-03-27 19:02:02,2024,3,27,2,19,0
81,TX10081,2024-01-17,14:52:38,C5209,P37,178.15,PayPal,UK,M38,Pending,1.25,222.6875,2024-01-17 14:52:38,2024,1,17,2,14,0
82,TX10082,2024-01-14,23:36:32,C6305,P58,533.58,Credit Card,USA,M16,Chargeback,1.0,533.58,2024-01-14 23:36:32,2024,1,14,6,23,1
83,TX10083,2023-10-07,09:05:22,C2410,P61,329.52,Credit Card,USA,M40,Completed,1.0,329.52,2023-10-07 09:05:22,2023,10,7,5,9,1
84,TX10084,2024-01-02,07:40:28,C6095,P95,366.82,PayPal,USA,M3,Pending,1.0,366.82,2024-01-02 07:40:28,2024,1,2,1,7,0
85,TX10085,2024-03-03,07:08:18,C4639,P29,363.26,PayPal,USA,M7,Pending,1.0,363.26,2024-03-03 07:08:18,2024,3,3,6,7,1
86,TX10086,2024-02-09,07:34:27,C9242,P60,98.52,Credit Card,Canada,M41,Refunded,0.73,71.91959999999999,2024-02-09 07:34:27,2024,2,9,4,7,0
87,TX10087,2024-03-07,17:24:14,C4321,P55,250.21,Debit Card,UK,M17,Pending,1.25,312.7625,2024-03-07 17:24:14,2024,3,7,3,17,0
88,TX10088,2024-04-17,18:37:20,C6028,P48,49.25,Debit Card,Canada,M36,Refunded,0.73,35.9525,2024-04-17 18:37:20,2024,4,17,2,18,0
89,TX10089,2024-02-20,21:44:18,C6880,P64,276.45,Credit Card,UK,M15,Completed,1.25,345.5625,2024-02-20 21:44:18,2024,2,20,1,21,0
90,TX10090,2023-06-26,19:12:16,C6845,P12,330.62,Debit Card,USA,M41,Pending,1.0,330.62,2023-06-26 19:12:16,2023,6,26,0,19,0
91,TX10091,2023-09-15,21:28:43,C7379,P82,65.85,Credit Card,Canada,M43,Refunded,0.73,48.070499999999996,2023-09-15 21:28:43,2023,9,15,4,21,0
92,TX10092,2023-06-17,08:30:42,C8317,P67,67.67,Debit Card,Canada,M34,Cancelled,0.73,49.3991,2023-06-17 08:30:42,2023,6,17,5,8,1
93,TX10093,2024-02-25,14:19:40,C3318,P85,229.76,PayPal,UK,M2,Cancelled,1.25,287.2,2024-02-25 14:19:40,2024,2,25,6,14,1
94,TX10094,2023-05-07,11:18:18,C1211,P47,186.33,Debit Card,Canada,M27,Pending,0.73,136.0209,2023-05-07 11:18:18,2023,5,7,6,11,1
95,TX10095,2023-09-12,10:49:10,C4571,P65,402.35,Debit Card,UK,M43,Chargeback,1.25,502.9375,2023-09-12 10:49:10,2023,9,12,1,10,0
96,TX10096,2023-09-19,04:08:15,C2244,P68,238.21,,UK,M47,Pending,1.25,297.7625,2023-09-19 04:08:15,2023,9,19,1,4,0
97,TX10097,2023-11-19,15:54:12,C5991,P7,79.07,PayPal,UK,M39,Refunded,1.25,98.83749999999999,2023-11-19 15:54:12,2023,11,19,6,15,1
98,TX10098,2023-10-14,06:22:10,C7726,P4,,PayPal,USA,M31,Pending,1.0,,2023-10-14 06:22:10,2023,10,14,5,6,1
99,TX10099,2023-09-30,05:37:59,C4941,P60,,Debit Card,USA,M19,Completed,1.0,,2023-09-30 05:37:59,2023,9,30,5,5,1
100,TX10100,2024-01-20,05:18:37,C8745,P91,107.31,Debit Card,USA,M6,Refunded,1.0,107.31,2024-01-20 05:18:37,2024,1,20,5,5,1
101,TX10101,2023-07-08,03:37:49,C4546,P50,118.87,Debit Card,UK,M22,Cancelled,1.25,148.5875,2023-07-08 03:37:49,2023,7,8,5,3,1
102,TX10102,2024-02-28,16:39:58,C1219,P83,262.5,Debit Card,USA,M4,Completed,1.0,262.5,2024-02-28 16:39:58,2024,2,28,2,16,0
103,TX10103,2023-12-20,09:49:31,C3003,P43,165.78,Debit Card,UK,M38,Completed,1.25,207.225,2023-12-20 09:49:31,2023,12,20,2,9,0
104,TX10104,2024-01-18,15:14:26,C3284,P4,177.95,Debit Card,Australia,M34,Refunded,0.65,115.66749999999999,2024-01-18 15:14:26,2024,1,18,3,15,0
105,TX10105,2023-06-24,06:15:15,C5953,P78,497.78,Debit Card,,M23,Cancelled,1.0,497.78,2023-06-24 06:15:15,2023,6,24,5,6,1
106,TX10106,2023-11-07,23:32:24,C2010,P88,168.99,Debit Card,UK,M24,Pending,1.25,211.2375,2023-11-07 23:32:24,2023,11,7,1,23,0
107,TX10107,2023-08-10,00:28:13,C6578,P27,,Credit Card,Canada,M13,Refunded,0.73,,2023-08-10 00:28:13,2023,8,10,3,0,0
108,TX10108,2023-10-13,01:04:17,C2106,P37,1155.42,Credit Card,USA,M39,Chargeback,1.0,1155.42,2023-10-13 01:04:17,2023,10,13,4,1,0
109,TX10109,2024-02-28,04:13:58,C1835,P85,222.07,Debit Card,USA,M2,Pending,1.0,222.07,2024-02-28 04:13:58,2024,2,28,2,4,0
110,TX10110,2023-05-29,17:58:10,C8188,P56,485.21,,USA,M48,Completed,1.0,485.21,2023-05-29 17:58:10,2023,5,29,0,17,0
111,TX10111,2024-01-21,19:14:06,C5042,P15,818.33,Credit Card,USA,M37,Chargeback,1.0,818.33,2024-01-21 19:14:06,2024,1,21,6,19,1
112,TX10112,2024-03-14,16:37:25,C6989,P87,186.25,Credit Card,Australia,M21,Cancelled,0.65,121.0625,2024-03-14 16:37:25,2024,3,14,3,16,0
113,TX10113,2023-08-15,18:21:05,C9414,P72,293.88,Credit Card,Canada,M28,Completed,0.73,214.5324,2023-08-15 18:21:05,2023,8,15,1,18,0
114,TX10114,2024-01-20,23:23:45,C5444,P45,112.45,PayPal,UK,M38,Pending,1.25,140.5625,2024-01-20 23:23:45,2024,1,20,5,23,1
115,TX10115,2023-10-05,18:07:11,C6120,P45,380.11,Credit Card,Canada,M20,Chargeback,0.73,277.4803,2023-10-05 18:07:11,2023,10,5,3,18,0
116,TX10116,2023-12-07,17:04:56,C5625,P33,95.73,Debit Card,Canada,M41,Pending,0.73,69.8829,2023-12-07 17:04:56,2023,12,7,3,17,0
117,TX10117,2024-03-03,02:25:49,C8623,P16,484.88,Credit Card,USA,M24,Cancelled,1.0,484.88,2024-03-03 02:25:49,2024,3,3,6,2,1
118,TX10118,2023-12-22,23:28:42,C2439,P25,183.79,Credit Card,Canada,M43,Pending,0.73,134.1667,2023-12-22 23:28:42,2023,12,22,4,23,0
119,TX10119,2024-02-20,16:08:45,C2709,P6,138.1,Credit Card,UK,M31,Cancelled,1.25,172.625,2024-02-20 16:08:45,2024,2,20,1,16,0
120,TX10120,2024-02-10,18:13:18,C6869,P78,144.71,Credit Card,Canada,M3,Cancelled,0.73,105.6383,2024-02-10 18:13:18,2024,2,10,5,18,1
121,TX10121,2023-05-09,14:46:18,C8781,P89,130.84,PayPal,Canada,M37,Completed,0.73,95.5132,2023-05-09 14:46:18,2023,5,9,1,14,0
122,TX10122,2023-05-09,23:45:48,C9607,P74,296.41,,USA,M12,Completed,1.0,296.41,2023-05-09 23:45:48,2023,5,9,1,23,0
123,TX10123,2023-09-01,22:28:08,C1695,P76,451.21,PayPal,USA,M36,Chargeback,1.0,451.21,2023-09-01 22:28:08,2023,9,1,4,22,0
124,TX10124,2023-12-12,14:30:53,C6240,P4,411.51,,USA,M12,Pending,1.0,411.51,2023-12-12 14:30:53,2023,12,12,1,14,0
125,TX10125,2023-12-24,09:04:40,C8569,P23,163.52,,UK,M28,Completed,1.25,204.4,2023-12-24 09:04:40,2023,12,24,6,9,1
126,TX10126,2024-01-05,11:23:13,C1315,P57,31.14,Debit Card,Canada,M31,Refunded,0.73,22.7322,2024-01-05 11:23:13,2024,1,5,4,11,0
127,TX10127,2024-03-19,02:33:07,C6126,P80,285.96,Credit Card,Canada,M44,Completed,0.73,208.75079999999997,2024-03-19 02:33:07,2024,3,19,1,2,0
128,TX10128,2023-10-24,18:18:45,C2068,P1,414.84,Credit Card,USA,M8,Cancelled,1.0,414.84,2023-10-24 18:18:45,2023,10,24,1,18,0
129,TX10129,2023-12-30,07:50:01,C3245,P11,75.1,Debit Card,UK,M35,Completed,1.25,93.875,2023-12-30 07:50:01,2023,12,30,5,7,1
130,TX10130,2023-07-01,08:43:29,C7842,P1,62.2,Debit Card,UK,M3,Refunded,1.25,77.75,2023-07-01 08:43:29,2023,7,1,5,8,1
131,TX10131,2023-12-06,00:16:35,C8655,P44,432.92,PayPal,USA,M2,Completed,1.0,432.92,2023-12-06 00:16:35,2023,12,6,2,0,0
132,TX10132,2024-02-27,03:58:33,C4285,P69,411.69,Debit Card,USA,M5,Completed,1.0,411.69,2024-02-27 03:58:33,2024,2,27,1,3,0
133,TX10133,2023-09-11,23:32:53,C5571,P13,1011.47,Credit Card,USA,M13,Chargeback,1.0,1011.47,2023-09-11 23:32:53,2023,9,11,0,23,0
134,TX10134,2024-03-07,09:04:54,C3448,P77,108.65,Credit Card,Australia,M42,Completed,0.65,70.6225,2024-03-07 09:04:54,2024,3,7,3,9,0
135,TX10135,2024-02-14,19:03:15,C8355,P25,309.02,PayPal,USA,M31,Pending,1.0,309.02,2024-02-14 19:03:15,2024,2,14,2,19,0
136,TX10136,2023-11-25,21:08:20,C2576,P17,188.29,Credit Card,UK,M5,Completed,1.25,235.36249999999998,2023-11-25 21:08:20,2023,11,25,5,21,1
137,TX10137,2023-12-16,03:32:41,C3566,P17,125.79,Debit Card,Canada,M16,Refunded,0.73,91.8267,2023-12-16 03:32:41,2023,12,16,5,3,1
138,TX10138,2024-03-02,22:34:41,C2461,P39,387.76,Credit Card,USA,M38,Pending,1.0,387.76,2024-03-02 22:34:41,2024,3,2,5,22,1
139,TX10139,2023-10-11,17:57:40,C9265,P1,123.11,Credit Card,Australia,M50,Refunded,0.65,80.0215,2023-10-11 17:57:40,2023,10,11,2,17,0
140,TX10140,2023-11-03,00:29:50,C8540,P73,,PayPal,Australia,M4,Completed,0.65,,2023-11-03 00:29:50,2023,11,3,4,0,0
141,TX10141,2024-01-29,02:41:20,C7897,P16,375.57,Debit Card,,M20,Pending,1.0,375.57,2024-01-29 02:41:20,2024,1,29,0,2,0
142,TX10142,2023-07-27,16:49:29,C6754,P78,87.01,PayPal,UK,M2,Completed,1.25,108.7625,2023-07-27 16:49:29,2023,7,27,3,16,0
143,TX10143,2023-06-17,22:10:45,C8277,P87,354.1,PayPal,USA,M8,Completed,1.0,354.1,2023-06-17 22:10:45,2023,6,17,5,22,1
144,TX10144,2023-12-10,14:25:14,C1760,P6,223.97,Debit Card,USA,M22,Cancelled,1.0,223.97,2023-12-10 14:25:14,2023,12,10,6,14,1
145,TX10145,2023-05-24,20:32:22,C9438,P42,383.66,Credit Card,USA,M1,Completed,1.0,383.66,2023-05-24 20:32:22,2023,5,24,2,20,0
146,TX10146,2024-02-11,15:01:08,C8007,P26,116.4,Debit Card,UK,M45,Pending,1.25,145.5,2024-02-11 15:01:08,2024,2,11,6,15,1
147,TX10147,2023-06-28,10:13:42,C8240,P77,84.46,Credit Card,UK,M44,Refunded,1.25,105.57499999999999,2023-06-28 10:13:42,2023,6,28,2,10,0
148,TX10148,2023-11-15,21:11:25,C1135,P66,467.03,Debit Card,USA,M19,Completed,1.0,467.03,2023-11-15 21:11:25,2023,11,15,2,21,0
149,TX10149,2023-10-29,14:12:26,C6007,P14,382.77,Credit Card,USA,M47,Completed,1.0,382.77,2023-10-29 14:12:26,2023,10,29,6,14,1
150,TX10150,2023-08-11,21:57:08,C9302,P49,173.13,PayPal,,M39,Cancelled,1.0,173.13,2023-08-11 21:57:08,2023,8,11,4,21,0
151,TX10151,2023-05-26,14:01:48,C9407,P71,311.46,PayPal,USA,M2,Completed,1.0,311.46,2023-05-26 14:01:48,2023,5,26,4,14,0
152,TX10152,2023-07-04,12:25:53,C2888,P27,244.54,Debit Card,USA,M31,Chargeback,1.0,244.54,2023-07-04 12:25:53,2023,7,4,1,12,0
153,TX10153,2024-01-08,23:06:35,C6443,P68,154.46,PayPal,UK,M20,Completed,1.25,193.07500000000002,2024-01-08 23:06:35,2024,1,8,0,23,0
154,TX10154,2023-10-06,11:04:14,C8010,P20,52.55,,Australia,M20,Refunded,0.65,34.1575,2023-10-06 11:04:14,2023,10,6,4,11,0
155,TX10155,2024-03-17,12:26:39,C3898,P11,477.72,Debit Card,USA,M31,Pending,1.0,477.72,2024-03-17 12:26:39,2024,3,17,6,12,1
156,TX10156,2024-02-05,13:36:31,C8892,P69,200.89,Credit Card,UK,M3,Refunded,1.25,251.11249999999998,2024-02-05 13:36:31,2024,2,5,0,13,0
157,TX10157,2023-10-04,04:09:26,C3144,P52,118.83,Credit Card,,M4,Refunded,1.0,118.83,2023-10-04 04:09:26,2023,10,4,2,4,0
158,TX10158,2023-11-30,19:14:27,C6682,P85,468.14,PayPal,USA,M5,Completed,1.0,468.14,2023-11-30 19:14:27,2023,11,30,3,19,0
159,TX10159,2023-06-09,11:07:55,C9220,P9,148.44,Debit Card,Canada,M3,Completed,0.73,108.3612,2023-06-09 11:07:55,2023,6,9,4,11,0
160,TX10160,2023-05-28,18:47:40,C8465,P72,276.12,Credit Card,USA,M49,Pending,1.0,276.12,2023-05-28 18:47:40,2023,5,28,6,18,1
161,TX10161,2023-12-23,23:31:46,C5603,P43,219.29,Debit Card,,M34,Cancelled,1.0,219.29,2023-12-23 23:31:46,2023,12,23,5,23,1
162,TX10162,2024-02-07,20:20:38,C7268,P29,259.24,PayPal,UK,M2,Completed,1.25,324.05,2024-02-07 20:20:38,2024,2,7,2,20,0
163,TX10163,2023-06-30,12:33:01,C6437,P87,368.12,PayPal,UK,M5,Chargeback,1.25,460.15,2023-06-30 12:33:01,2023,6,30,4,12,0
164,TX10164,2024-02-02,04:44:11,C3432,P59,276.1,Debit Card,USA,M49,Cancelled,1.0,276.1,2024-02-02 04:44:11,2024,2,2,4,4,0
165,TX10165,2023-06-01,07:16:54,C3337,P29,825.91,Credit Card,Canada,M33,Chargeback,0.73,602.9142999999999,2023-06-01 07:16:54,2023,6,1,3,7,0
166,TX10166,2023-05-26,04:31:58,C2728,P43,,,USA,M8,Refunded,1.0,,2023-05-26 04:31:58,2023,5,26,4,4,0
167,TX10167,2023-06-14,09:48:15,C5733,P68,457.4,Credit Card,USA,M10,Chargeback,1.0,457.4,2023-06-14 09:48:15,2023,6,14,2,9,0
168,TX10168,2024-05-01,10:03:51,C1004,P98,483.56,Debit Card,USA,M28,Cancelled,1.0,483.56,2024-05-01 10:03:51,2024,5,1,2,10,0
